Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
Shane Baz,BAL,122,102.45867895545315,89.679509202454,96.09392857142858,NA,NA,NA,80.35926829268291,101.97595839524519,NA,98.22060316671676,102.14713820216255,102.36533052871745,Shane Baz,22264,669358
Dustin May,STL,104,101.73817371937639,113.95071428571431,89.2610752688172,NA,112.8592024539877,102.52107142857143,85.12877192982455,NA,NA,102.30630643211113,102.2647470393993,104.66975312720591,Dustin May,19716,669160
Joe Ryan,MIN,114.1,115.05144508670517,106.78463917525772,NA,79.86237885462556,98.50095959595961,NA,NA,121.76995348837211,NA,107.4486217131715,107.87465482382663,111.7906815243104,Joe Ryan,21390,657746
Kevin Gausman,TOR,121.2,97.68984905660378,NA,NA,100.91454075032343,89.95558685446008,NA,NA,NA,NA,98.09153265813687,107.90397038603585,105.38749934317724,Kevin Gausman,14107,592332
Louis Varland,TOR,53,117.07543026706232,111.37181818181817,NA,NA,97.64463768115942,NA,98.93869565217392,123.60984251968503,NA,114.21645997130557,107.99147655667147,121.64991649928265,Louie Varland,27691,686973
Max Meyer,MIA,111,96.90479069767441,92.065549132948,NA,NA,100.62691011710632,NA,87.30415300546449,NA,NA,97.54715316560821,104.9427914795481,105.08366075865457,Max Meyer,27474,676974
Landen Roupp,SFG,110,100.50162790697674,94.42143695014664,91.39138576779028,NA,NA,117.54273641851108,85.73750000000001,NA,NA,98.48096060559243,106.58909342577596,105.38746342918621,Landen Roupp,30076,694738
Gavin Williams,CLE,126.1,106.86630901287553,94.13426229508197,82.31594936708862,NA,116.18182857142858,105.0974537037037,NA,NA,NA,104.51111862924019,104.55940103364209,107.53129837435074,Gavin Williams,30122,668909
Payton Tolle,BOS,95,123.26826420890937,99.68442244224421,102.936,NA,NA,125.66037037037039,108.51395348837211,NA,NA,113.97077245966517,98.11641979778557,109.80815030528414,Payton Tolle,35466,801139
Kyle Harrison,MIL,83.2,107.95047393364929,101.25280000000002,NA,NA,NA,101.42013392857143,108.90357142857144,NA,NA,105.93287543068917,114.5824662644062,116.67403577592147,Kyle Harrison,27758,690986
Shane McClanahan,TBR,96,86.0262142857143,NA,NA,NA,112.62831615120274,102.52028846153843,134.02177676537588,NA,NA,107.60054574869943,94.42052446499106,102.30433946728432,Shane McClanahan,21483,663556
Sandy Alcantara,MIA,143.2,97.13714964370546,101.55844484629296,103.18546623794212,NA,110.4067536231884,88.33394736842106,94.95669603524229,NA,NA,100.5009421335723,103.15476567767298,102.70382605009371,Sandy Alcantara,18684,645261
Nick Martinez,TBR,117.1,93.60765957446809,102.08886718750001,87.49026086956522,NA,96.50923076923075,87.60740000000001,110.85179600886916,NA,NA,99.38170641112283,105.67063484450401,104.26784339973332,Nick Martinez,12730,607259
Michael Soroka,ARI,82,94.78845605700711,95.48229007633589,93.07716216216218,NA,140.93555555555557,97.52978622327791,82.70775,NA,NA,94.37064442197507,106.57757869902258,98.74740242669364,Michael Soroka,18383,647336
Trevor Rogers,BAL,103.2,104.69434610303834,100.81329479768789,101.25756097560976,NA,122.03240740740742,NA,83.31382585751979,NA,NA,101.41693118839746,103.97605950682525,102.5209538704549,Trevor Rogers,22286,669432
José Soriano,LAA,123,94.73834368530021,104.25595588235294,NA,100.94564102564101,95.53040816326532,NA,NA,91.41366223908918,NA,97.62625903184285,104.88111619956463,105.26294849481361,Jose Soriano,22100,667755
MacKenzie Gore,TEX,115.2,95.39876681614349,104.21161904761905,93.65384615384616,NA,100.6345918367347,107.55601990049752,93.00956937799043,NA,NA,98.46783439750374,100.38971139878154,98.77824198595054,MacKenzie Gore,22201,669022
Max Fried,NYY,63.1,104.28174496644296,108.61106598984772,99.66557213930348,NA,111.54041666666666,118.75074380165289,102.15548387096774,NA,NA,106.6464083832665,101.60993589929011,110.38491367690975,Max Fried,13743,608331
Keider Montero,DET,110.1,93.04535331905784,103.45867052023121,NA,NA,100.3330909090909,NA,81.82317307692308,92.26311926605503,NA,95.07829839423191,101.8281619597613,95.57537382970679,Keider Montero,22630,672456
Ben Brown,CHC,68,87.45644204851752,100.34009661835749,NA,NA,NA,NA,100.36599999999999,116.30967213114755,NA,101.42086542718017,98.72992031872509,99.41128301608381,Ben Brown,23590,676962
George Kirby,SEA,120,91.8976653696498,114.05131147540983,83.21584905660379,NA,105.65655831739961,NA,83.18852459016394,105.36607142857143,NA,101.41162796344368,112.11582351722025,112.21488178187923,George Kirby,25436,669923
Foster Griffin,WSN,124,98.01135646687698,91.83030303030306,96.91426810477658,111.38416666666667,104.50118055555556,101.6383,84.21980392156863,NA,NA,97.74838656074287,101.97237151258605,98.1229628804644,Foster Griffin,16432,656492
Jhoan Duran,PHI,35.1,100.1042105263158,NA,NA,125.65328063241107,141.03622641509435,NA,130.2116666666667,133.52246153846156,NA,121.08010917619983,98.14953815762843,121.2644251690673,Jhoan Duran,21029,661395
Shane Drohan,MIL,82,100.27186170212767,96.95350943396227,89.75724637681162,NA,108.05046511627906,98.67265536723164,93.54262295081968,NA,NA,99.48955874865233,102.3865682979209,100.34215554291974,Shane Drohan,27814,675660
Michael Wacha,KCR,132.1,94.07734848484847,89.98979865771811,73.7867558528428,NA,86.15616279069768,85.7556862745098,130.99441364605542,NA,NA,97.6678340312265,101.32378180658041,98.70403944845468,Michael Wacha,14078,608379
Logan Webb,SFG,108,95.7244,110.83541666666665,84.28155339805825,NA,96.0403267973856,NA,99.1719518072289,NA,NA,99.72921077297576,104.27638497000883,105.52189364705752,Logan Webb,17995,657277
