Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,botStf FA,botStf SI,botStf FC,botStf FS,botStf SL,botStf CU,botStf CH,botStf KC,Stuff+,Location+,Pitching+,botStf,botCmd,botOvr,NameASCII,PlayerId,MLBAMID
Max Lazar,PHI,8,97.23826086956522,NA,90.97846153846154,111.68875,NA,NA,NA,78.73,NA,53.65878086956521,NA,67.17422461538462,52.521381250000005,NA,NA,NA,47.69865791666666,96.1090625,102.14328124999999,99.25859375,53.696849453125,54.594273671875,53.41568359375,Max Lazar,23426,676661
Antwone Kelly,PIT,7.1,96.24,118.06,NA,NA,131.12420361247945,NA,140.96545454545455,NA,NA,56.61550852941177,80,NA,NA,58.54947333333333,NA,64.33880272727274,NA,114.55387351469669,113.135020455493,125.59713570981863,57.14882317073171,63.08568398373984,66.02028292682927,Antwone Kelly,29000,699008
Yovanny Cruz,2 Tms,8.1,105.58823529411765,NA,NA,141.0953846153846,117.77204819277108,NA,NA,NA,NA,65.00729686274511,NA,NA,54.71141615384616,60.27391554216869,NA,NA,NA,115.60761904761904,87.74557823129253,104.98136054421768,62.43098312925171,50.53418265306122,55.61649639455782,Yovanny Cruz,22622,672442
Hunter Harvey,CHC,4,100.56263157894738,NA,NA,112.7568,113.126,83.54666666666667,NA,NA,NA,55.423577105263156,NA,NA,60.1388164,47.197292000000004,40.52512333333333,NA,NA,105.55526315789473,112.8015789473684,116.80342105263159,54.572269999999996,60.74599710526316,61.404873157894734,Hunter Harvey,15507,640451
Nick Davila,SEA,24.2,78.7004347826087,87.52071428571429,NA,NA,97.49295546558706,NA,NA,NA,NA,34.27476847826087,42.99455428571429,NA,NA,44.924438178137656,NA,NA,NA,93.01584310190886,100.93038174598743,93.18395245649018,46.6926675862069,55.08643360742704,51.746669575596826,Nick Davila,27741,689546
Philip Abner,ARI,14.1,86.7835294117647,92.94,NA,NA,107.17106382978723,85.27083333333333,91.40461538461538,NA,NA,52.207421764705884,76.97705,NA,NA,48.063054255319145,44.972298333333335,28.035118461538463,NA,90.66857142857144,94.65559183673469,87.97469387755102,47.130854448979584,52.16334469387755,48.47137702040817,Philip Abner,33821,691769
Jedixson Paez,CHW,3,79.1791304347826,99,75.68727272727273,NA,NA,91.04571428571428,76.32,NA,NA,55.47764217391305,55.68465777777778,48.13974,NA,NA,47.43196714285715,60.907196,NA,81.6859171597633,101.9004023668639,94.80459171597634,52.882005846153845,48.192528923076914,48.11992569230769,Jedixson Paez,29114,699151
Cristian Javier,HOU,32.1,97.9670671378092,88.16000000000001,96.649375,NA,111.00075187969924,NA,78.95032258064515,90.39846153846155,NA,44.454924734982335,35.10455666666667,37.78161666666667,NA,49.805971127819554,NA,41.87878451612903,36.63901,97.4106564053423,98.67769838893213,94.44188476971911,46.189513445229686,53.43222,49.9301536925795,Cristian Javier,17606,664299
Carlos Carrasco,ATL,16.2,78.28709677419356,84.01820895522388,81.51105263157895,NA,76.29823529411765,NA,84.05815789473684,NA,NA,52.50034709677419,41.83074805970149,45.835255555555555,NA,34.20835090909091,NA,39.23035144736841,NA,81.53472273855272,107.72703173969391,91.61626035091594,45.718713943089426,54.16696097560976,48.31525573170732,Carlos Carrasco,6632,471911
Dedniel Núñez,NYM,3.1,91.72055555555556,NA,NA,NA,98.352,NA,NA,NA,NA,59.85320694444445,NA,NA,NA,52.21554149999999,NA,NA,NA,94.08892857142858,118.15035714285715,118.91892857142857,55.021714464285715,59.52589660714286,59.39410267857143,Dedniel Nunez,23055,673380
Kyle Nicolas,CIN,7.1,95.7725,95.50999999999999,NA,NA,84.90757575757576,109.87875000000001,NA,NA,NA,58.62683739583333,41.125420000000005,NA,NA,55.28304818181818,57.293710625,NA,NA,94.42535353535354,73.39010101010102,74.64565656565657,55.49589994949494,33.766345707070705,40.5826104040404,Kyle Nicolas,27775,693312
Joe Ross,2 Tms,11.2,95.08146341463414,95.2956,NA,79.76714285714284,89.3535593220339,102.88615384615386,NA,NA,NA,48.178842682926835,49.742195599999995,NA,36.29181043417367,40.904697627118644,49.22170076923077,NA,NA,90.6470493060348,101.92524883061114,95.5893708304578,46.820218647343,50.32258806763286,46.995669468599026,Joe Ross,12972,605452
Shane Bieber,TOR,48.2,91.61098305084747,82.11885714285715,81.882,NA,99.42558139534884,NA,85.72280254777071,89.2094871794872,NA,46.36102281355933,33.20597620689655,53.636068300000005,NA,57.19536755813953,NA,54.35196350318471,44.55657269230769,89.29099751649757,93.93776314482369,88.70927524302846,49.82310958986731,47.77238882991556,46.61167487334138,Shane Bieber,19427,669456
Shaun Anderson,LAA,20,90.24127659574468,86.83999999999999,NA,NA,82.65556737588653,NA,88.64155555555556,NA,NA,53.09462744680851,55.70052076923077,NA,NA,45.77492716312057,NA,52.572063,NA,86.46411752136753,96.0758618233618,88.33026417378919,52.01635450142451,47.911113276353284,47.51988743589743,Shaun Anderson,19453,641312
José Buttó,SFG,2,89.4775,95.32959999999999,NA,NA,96.20871794871793,79.34,74.66749999999999,NA,NA,58.61156999999999,59.6257392,NA,NA,48.76476384615384,NA,38.27104,NA,91.298825396825393,67.65971428571429,66.44673015873015,52.565536349206354,30.824849206349207,33.21874936507937,Jose Butto,23313,676130
Jose Franco,CIN,20.1,88.12375,NA,NA,NA,104.06920863309352,NA,82.73086956521739,NA,NA,50.251296937499994,NA,54.1918,NA,48.19889064748201,NA,44.840262173913054,NA,93.81402298850576,90.06954022988505,85.86528735632184,49.7473184770115,44.927879339080455,45.71832744252874,Jose Franco,27014,683742
Camilo Doval,2 Tms,45.2,NA,91.49974921630096,88.51927272727272,NA,125.1255652173913,NA,93.5513043478261,NA,NA,NA,61.073272067048556,54.69099793263964,NA,57.0391948932306,NA,46.88288558352403,NA,100.45609469030853,100.48594475545418,103.12817788221562,57.02358076914126,46.94456359487627,52.40047829171558,Camilo Doval,21992,666808
Lyon Richardson,2 Tms,3.1,86.58500000000001,85.67833333333334,NA,NA,100.98999999999998,NA,84.05857142857144,NA,NA,57.9496625,47.07239625,NA,NA,43.95051333333333,NA,56.519486785714285,NA,86.91941176470588,92.79529411764706,86.17735294117647,53.10477720588236,43.439166323529406,44.0873375,Lyon Richardson,24581,680689
Ben Peoples,TEX,14.1,94.68951048951048,NA,NA,NA,117.26772727272724,NA,99.79,NA,NA,54.50160958041957,NA,NA,NA,54.38692636363637,NA,52.26881100000001,NA,103.14547717842326,98.8240663900415,99.1863070539419,53.486102406639006,52.5779972614108,54.61237605809128,Ben Peoples,26406,687239
David Sandlin,CHW,24.2,101.11774834437087,82.90222222222222,95.52735294117647,NA,140.738,96.31383177570093,88.3711111111111,NA,NA,53.94819006622517,49.29931555555555,53.82998147058823,NA,63.781949,50.302887102803744,43.632489259259266,NA,98.4241564792176,94.55877750611248,94.08327628361857,50.66465745721271,47.54325914425428,48.292372787286055,David Sandlin,31743,689818
Ethan Roberts,CHC,25.2,NA,93.25211267605634,91.78020408163266,NA,102.74106508875738,NA,NA,NA,NA,NA,48.69272074626865,49.08414668478262,NA,65.08365464968153,NA,NA,NA,96.17966437833715,94.68484820747517,95.02751487414189,58.438533105134475,50.60522623471882,53.9493774816626,Ethan Roberts,24930,681799
John King,MIA,47.2,74.44,96.06166666666668,NA,NA,99.4060170940171,86.22481012658227,85.63865671641788,NA,NA,34.07042222222222,46.813306157407396,NA,NA,53.49761363247862,50.48040924050633,45.55294820895525,NA,93.72647839229735,99.10390689530777,94.06922831299445,51.77063144345239,54.504986681547614,52.90958459821428,John King,22051,667463
Chase Petty,CIN,31.2,106.23183098591548,89.7689024390244,NA,NA,108.32666666666668,NA,99.54145454545454,NA,NA,52.24668366197183,46.709790000000005,NA,NA,50.69198954545454,NA,57.593123636363636,NA,99.60846960167713,99.86121593291405,98.97039832285114,52.323498637316554,53.823119832285116,52.88941897274633,Chase Petty,30170,695534
Yariel Rodríguez,TOR,9.1,93.51833333333333,104.86461538461539,NA,108.95428571428573,92.6714705882353,NA,NA,NA,NA,57.764784999999996,56.22973076923077,NA,51.42616523809523,54.61624602941177,NA,NA,NA,98.46848769209845,90.81057221542227,94.44767781857745,56.49464145348836,44.44167034883721,48.743328023255806,Yariel Rodriguez,33838,684320
Andrew Hoffmann,ARI,11.2,73.853277310924355,NA,NA,NA,95.30851063829788,NA,114.62156250000001,NA,NA,43.28551285714286,NA,NA,NA,47.95794224999999,NA,62.821390781249995,NA,90.29321817160918,101.3201410568847,93.15411286171587,50.254431826086964,49.35609417391304,51.50660582608696,Andrew Hoffmann,29633,694851
Luis García,2 Tms,15,50.72,93.08354838709678,NA,89.21951807228915,113.93245283018867,NA,NA,NA,NA,28.40582,53.04277806451613,NA,44.51995879518072,53.2939,NA,NA,NA,95.21908675634197,97.08622966507176,95.13939225422045,52.15167362264151,47.89581188679245,48.169407849056604,Luis Garcia,6984,472610
Chase Shugart,PHI,41,100.67397260273974,104.1218905472637,102.65196261682244,NA,114.87720000000002,NA,78.85728813559322,NA,NA,52.1447684931507,48.95254079601989,48.40268158878504,NA,52.13554133333333,NA,40.76490344827586,NA,103.51399827833578,93.72972969870877,97.04953113342897,51.223743213773325,48.771545265423235,51.32519404591105,Chase Shugart,21544,663767
Bryan King,HOU,51,97.22,98.5336936936937,NA,NA,104.48617283950618,NA,84.52222222222221,NA,NA,52.620483858585835,57.550241727272734,NA,NA,52.095053827160484,NA,28.2610825,NA,99.32119548542627,106.85906739983669,103.96406919291536,51.140326643356666,57.88719501165501,56.77218601398602,Bryan King,25890,687911
