mlbam_id,full_name,height_str,height_in,pos_code
573262,Mike Yastrzemski,"5' 10""",70,7
489446,Kirby Yates,"5' 10""",70,1
678868,Eddy Yean,"6' 3""",75,1
592885,Christian Yelich,"6' 4""",76,10
702056,Trey Yesavage,"6' 4""",76,1
684974,Craig Yoho,"6' 2""",74,1
694377,Nick Yorke,"5' 11""",71,5
807799,Masataka Yoshida,"5' 8""",68,10
687064,Brandon Young,"6' 6""",78,1
702284,Cole Young,"5' 10""",70,4
664849,Danny Young,"6' 3""",75,1
696285,Jacob Young,"5' 11""",71,8
676724,Jared Young,"6' 2""",74,3
666171,Ryan Zeferjahn,"6' 5""",77,1
672582,Angel Zerpa,"6' 0""",72,1
669145,Bruce Zimmermann,"6' 3""",75,1
676604,Tyler Zuber,"5' 11""",71,1
670871,Guillo Zuñiga,"6' 5""",77,1
